Pond,Date,Water.Z,Temp,Cond.mS,Cond.uS,percDO,conc.DO,Light,pH,Secci,DOC,TN,Chl,Phaeo
DP,2016-06-14,0,26.3,0.978,1007,77.4,6.23,1018.3,7.19,1.48,7.415,1.144,6.62,1.56
DP,2016-06-14,0.25,NA,NA,NA,NA,NA,622.9,NA,1.48,NA,NA,NA,NA
DP,2016-06-14,0.5,26.28,0.975,1006,66.5,5.33,411.7,NA,1.48,NA,NA,NA,NA
DP,2016-06-14,0.75,NA,NA,NA,NA,NA,217.1,NA,1.48,NA,NA,NA,NA
DP,2016-06-14,1,23.65,1.022,998,32.4,7.74,179.85,NA,1.48,NA,NA,NA,NA
DP,2016-06-14,1.25,NA,NA,NA,NA,NA,122.99,NA,1.48,NA,NA,NA,NA
DP,2016-06-14,1.5,19.8,1.086,977,1.2,0.1,81.07,NA,1.48,NA,NA,NA,NA
DP,2016-06-14,1.75,NA,NA,NA,NA,NA,48.3,NA,1.48,NA,NA,NA,NA
DP,2016-06-14,2,15.96,1.15,943,0.4,0.04,28.34,NA,1.48,NA,NA,NA,NA
DP,2016-06-14,2.5,NA,NA,NA,NA,NA,NA,6.56,NA,7.329,1.084,18.10,5.61
CP,2016-07-11 09:00,0,27.36,0.966,1015,176.8,13.86,1121.0,8.15,0.2,NA,NA,40.74,22.06
CP,2016-07-11 09:00,0.5,NA,NA,NA,NA,NA,27.52,NA,NA,NA,NA,NA,NA
CP,2016-07-11 12:00,0,29.51,1.00,1088,275.2,20.89,NA,NA,NA,NA,NA,NA,NA
LPP,2016-07-13,0,27.3,0.962,978,44.1,3.48,591.6,7.54,0.6,NA,NA,12.00,1.96
LPP,2016-07-13,0.25,NA,NA,NA,NA,NA,350.6,NA,NA,NA,NA,NA,NA
LPP,2016-07-13,0.5,27.24,0.969,1006,31.4,2.49,191.75,NA,NA,NA,NA,NA,NA
LPP,2016-07-13,0.75,NA,NA,NA,NA,NA,104.53,NA,NA,NA,NA,NA,NA
LPP,2016-07-13,1.0,27.13,0.972,1018,25.2,2.0,62.13,7.51,NA,NA,NA,10.52,2.60
DP,2016-09-01,0,28.95,0.930,1000,122,9.32,NA,NA,NA,NA,NA,NA,NA
LPP,2016-09-01,0,28.33,.943,1003,106.3,8.20,NA ,NA,NA,NA,NA,NA,NA
LPP ,2016-09-15,0,24.83,1.000,1006,73.2,6.05,NA,NA ,NA ,NA,NA,26.50,-1.99
DP ,2016-09-15,0,26.02,.996,990,94.1,7.61,NA,NA,NA,NA,NA,36.41,-3.63
CP,2016-09-15,0,25.08,1.000,995,181.5,14.91,NA,NA,NA,NA,NA,181.19,-40.63
